Title,Author,ISBN,Publisher,Year,Genre,Pages,Shelf Location,Cover URL,Summary,Google VolumeID,Loaned To,Notes
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,9780393339857,W. W. Norton & Company,2010,Biography & Autobiography,352,2.10,,"A New York Times bestseller—the outrageous exploits of one of this century's greatest scientific minds and a legendary American original. Richard Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek; cracking the uncrackable safes guarding the most deeply held nuclear secrets; accompanying a ballet on his bongo drums; painting a naked female toreador. In short, here is Feynman's life in all its eccentric—a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.",7papZR4oVssC,,Cover image available via Google Books
3D Game Engine Design,David H. Eberly,N/A,Morgan Kaufmann,2007,,1018,2.5,"https://m.media-amazon.com/images/I/31twMWYdoWL._AC_UF1000,1000_QL80_.jpg",,M_l_tAEACAAJ,,Missing ISBN; Genre not classified; Summary available via Google Books
3D Math Primer for Graphics and Game Development,"Fletcher Dunn,Ian Parberry",9781439869819,CRC Press,2011,Computers,846,2.4,"https://m.media-amazon.com/images/I/41CsPxSErSL._AC_UF1000,1000_QL80_.jpg","This engaging book presents the essential mathematics needed to describe, simulate, and render a 3D world. Reflecting both academic and in-the-trenches practical experience, the authors teach you how to describe objects and their positions, orientations, and trajectories in 3D using mathematics. The text provides an introduction to mathematics for",TvrRBQAAQBAJ,,
24 Hours in Cyberspace,Rick Smolan,9780789709257,QUE Macmillan,1996,Computers,224,2.2,,"From the best-selling author of the Day in the Life series, this new book chronicles the 24 Hours in Cyberspace live publishing event that took place February 8, 1996 across the world. It features more than 200 of the most compelling photos and heartwarming stories captured by over 150 professional photographers. Readers will meet couples who have logged on and fallen in love, doctors who carry medical relief across continents using the Internet, wildlife rangers who track elephants using global positioning satellites and more.-- The high-quality, hardcover production make this book ideal for the Christmas buying season-- Rich, full-color photographs create an intimate and emotional portrait of people whose lives have been dramatically affected by the online world-- CD-ROM includes the entire 24 Hours in Cyberspace Web site, Netscape Navigator for Windows 95 and Macintosh; plus, 15 hours free time on America Online and GNN",abpeAAAAIAAJ,,Cover image available via Google Books
50 Essential Chess Lessons,Steve Giddins,9781904600411,"Gambit Publications, Limited",2006,Crafts & Hobbies,157,1.1,,"Steve Giddins has chosen 50 supremely instructive games - some old, some new, and including many that few readers will have seen before. He has annotated these games in detail from a modern perspective, explaining the useful lessons that can be learnt from them, while avoiding the harmful dogma that characterized many older works of this type. Topics include: Attacking the King, Defence, Piece Power, and Endgame Themes. Each game is followed by a recap of the main lessons to be learned.  Giddins writes in a highly accessible down-to-earth style that appeals to club players seeking to improve their understanding of practical chess. His knowledge of Russian-language chess literature has enabled him to find many excellent examples that have not appeared in previous western literature.",nY2KAAAACAAJ,,Cover image available via Google Books
73 Dipole and Long-wire Antennas,Edward M. Noll,9780672240065,Editors and Engineers,1969,Technology & Engineering,160,2.1,https://s3.amazonaws.com/kimicoapps-bookbuddy/DFFC6EAF-625C-4E10-AE67-B01F4E81331B,,ar5aAAAAYAAJ,,Summary available via Google Books
100 Perceptual Puzzles,Pierre Berloquin,9781566196734,Barnes & Noble,1995,Puzzles,90,2.12,"https://m.media-amazon.com/images/I/61r2vJfI-ES._AC_UF1000,1000_QL80_.jpg",,jYS-NaO5ObwC,,Summary available via Google Books
101 Microprocessor Software and Hardware Projects,"Frank P. Tedeschi,Gary Kueck",9780830600304,TAB Books,1982,Computers,294,2.5,"https://m.media-amazon.com/images/I/51vFfJmPXjL._AC_UF1000,1000_QL80_.jpg","Combines Hardware Projects (Circuits, Printers, Terminals) with Software Applications",EXxBAAAACAAJ,,
642 Things to Draw,Books Chronicle,9780811876445,Chronicle Books,2010,Art,304,1.1,,"642 Things to Draw is a guided journal that will inspire creativity, energize the mind, and stimulate artistry in any aspiring or skilled creator. Dive into this treasure trove of offbeat, clever, and endlessly absorbing drawing prompts.  This guided art journal includes 642 random drawing prompts: A rolling pin, a robot, a pickle, a water tower, a hammock, a wasp, a safety pin, a kiss. Some are deceptively simple (just try drawing a bicycle!), some are conceptually mind-bending (sketching the sound of girlish laughter?), and some are refreshingly basic (the only hard thing about drawing an egg is deciding how you want it to be cooked). Hip and helpful, 642 Things to Draw is the perfect inspirational sketchbook, sure to entertain and provoke the imagination of anyone ready to pick up a pencil.  FUN FOR ANYONE: Budding artists and experienced sketchers alike will find themselves invigorated by this collection of unique and wonderful drawing prompts. While there are no step-by-step, how-to-draw instructions included, you don't have to be a skilled artist to enjoy the relaxing, stimulating, and engaging drawing ideas.  SPARK CREATIVITY: Designed to spur casual doodling while entertaining the mind, this collection of 642 silly, thought-provoking, simple, and complex prompts will push your mind--and pencil--to think outside the box.  USERS LOVE IT: With hundreds of 5-star ratings, reviewers rave about this book, calling it ""great for all ages"" and ""the best drawing book you'll ever pick up."" Perfect for:  Birthday, holiday, or graduation gifts for artists of all ages seeking to expand their knowledge or boost creative awareness  Anyone who could benefit from an occasional creative brain break that is pure enjoyment  Doodlers, sketchbook lovers, and fans of adult coloring books or inspirational journals",UCQDRQAACAAJ,,Cover image available via Google Books
2010: Odyssey Two,Arthur C. Clarke,9780345303066,Random House Worlds,1984,Fiction,352,2.3,,"“A daring romp through the solar system and a worthy successor to 2001.”—Carl Sagan Nine years after the disastrous Discovery mission to Jupiter in 2001, a joint U.S.-Soviet expedition sets out to rendezvous with the derelict spacecraft—to search the memory banks of the mutinous computer HAL 9000 for clues to what went wrong…and what became of Commander Dave Bowman. Without warning, a Chinese expedition targets the same objective, turning the recovery mission into a frenzied race for the precious information Discovery may hold about the enigmatic monolith that orbits Jupiter. Meanwhile, the being that was once Dave Bowman—the only human to unlock the mystery of the monolith—streaks toward Earth on a vital mission of its own . . . “Clarke deftly blends discovery, philosophy, and a newly acquired sense of play.”—Time “2010 is easily Clarke’s best book in over a decade.”—The San Diego Tribune",TZjoTmnqgIEC,,Cover image available via Google Books
